Date,PotentialEnergy,Forward5dPct,Forward20dPct,Forward60dPct
2015-05-08,2.48,0.39,-1.48,-1.06
2015-05-11,2.61,1.18,-1.03,-0.26
2015-05-12,2.15,1.45,0.46,-0.78
2015-07-17,2.82,-2.11,-1.44,-5.16
2015-07-20,2.61,-2.73,-0.94,-5.80
2015-07-21,2.28,-1.14,-0.84,-5.88
2015-07-22,2.07,-0.28,-1.44,-4.27
2016-01-13,2.18,-1.13,-3.16,8.04
2016-01-15,2.25,-0.09,1.05,10.75
2016-01-19,2.17,1.14,2.56,10.61
2016-01-20,2.39,1.34,3.47,11.92
2016-01-21,2.22,1.30,2.84,12.08
2016-01-25,2.06,3.20,2.49,11.97
2016-02-08,2.20,2.35,7.00,10.57
2016-02-09,2.14,4.02,7.52,10.54
2016-02-10,2.10,3.68,7.70,11.04
2016-02-11,2.25,5.00,10.88,12.59
2016-12-09,2.07,-0.65,-0.02,4.57
2016-12-12,2.02,-0.32,0.38,5.06
2016-12-13,2.19,-0.60,-0.54,4.41
2016-12-15,2.07,-0.63,-0.25,5.35
2017-01-25,2.20,-0.85,2.99,2.19
2017-01-26,2.14,-0.68,3.23,3.42
2017-01-27,2.08,0.16,3.56,4.18
2017-02-10,2.02,1.55,2.72,3.43
2017-02-13,2.14,1.60,1.77,3.05
2017-02-14,2.19,1.10,2.25,2.43
2017-02-15,2.26,0.65,1.52,1.73
2017-02-16,2.17,0.86,0.98,2.38
2017-02-17,2.19,0.86,0.71,2.12
2017-02-21,2.33,-0.01,-1.17,-0.28
2017-02-22,2.25,1.48,-0.85,0.21
2017-02-23,2.17,0.77,-1.02,0.79
2017-02-24,2.14,0.71,-1.22,1.17
2017-02-27,2.07,0.25,-1.47,1.24
2017-03-01,2.31,-1.34,-1.77,0.83
2017-03-02,2.14,-0.59,-0.83,1.44
2017-03-03,2.13,-0.31,-1.12,1.29
2017-03-06,2.04,0.04,-1.00,1.57
2017-10-20,2.01,0.23,0.29,8.57
2017-10-27,2.25,0.29,0.98,9.93
2017-10-30,2.12,0.82,2.38,11.62
2017-10-31,2.07,0.59,2.16,10.71
2017-11-01,2.12,0.63,2.92,9.43
2017-11-02,2.18,0.23,2.67,9.44
2017-11-03,2.23,-0.14,2.20,8.95
2017-11-06,2.24,-0.20,1.68,6.41
2017-11-07,2.19,-0.36,1.77,2.03
2017-11-08,2.21,-1.03,1.91,3.87
2017-11-09,2.04,0.17,2.84,3.68
2017-11-10,2.04,-0.09,3.18,-0.18
2017-11-21,2.00,1.05,2.71,4.39
2017-11-28,2.16,0.12,1.69,5.72
2017-11-29,2.01,0.20,1.96,4.46
2017-11-30,2.21,-0.35,0.70,2.51
2017-12-01,2.09,0.40,1.63,1.23
2017-12-08,2.04,0.38,3.40,3.24
2017-12-11,2.03,0.71,2.93,4.72
2017-12-12,2.03,0.15,3.50,4.40
2017-12-13,2.01,0.10,4.19,3.74
2017-12-18,2.04,-0.38,4.08,2.24
2018-01-03,2.06,1.35,4.11,-4.81
2018-01-04,2.14,1.66,1.41,-3.99
2018-01-05,2.27,1.65,-3.47,-3.61
2018-01-08,2.24,1.11,-1.75,-3.02
2018-01-09,2.25,1.85,-2.50,-5.40
2018-01-10,2.17,1.83,-6.02,-4.79
2018-01-11,2.27,1.55,-5.29,-3.97
2018-01-12,2.36,1.72,-4.53,-5.09
2018-01-16,2.22,2.28,-3.96,-3.99
2018-01-17,2.43,1.28,-3.58,-5.17
2018-01-18,2.33,1.49,-2.19,-4.23
2018-01-19,2.42,2.20,-2.60,-3.64
2018-01-22,2.57,0.70,-3.99,-4.35
2018-01-23,2.59,-0.54,-4.67,-5.08
2018-01-24,2.47,-0.45,-4.51,-5.85
2018-01-25,2.41,-0.61,-3.03,-5.91
2018-01-26,2.61,-3.88,-3.03,-8.24
2018-01-29,2.48,-7.29,-3.60,-7.39
2018-01-30,2.20,-4.48,-3.59,-5.48
2018-01-31,2.24,-5.05,-5.04,-5.44
2018-02-01,2.13,-8.51,-4.44,-6.06
2018-08-27,2.05,0.01,0.33,-8.85
2018-08-29,2.18,-1.14,-0.27,-9.69
2018-08-30,2.03,-0.93,0.14,-7.85
2018-12-17,2.00,-8.23,2.20,10.16
2018-12-19,2.21,-1.27,6.05,12.39
2018-12-20,2.49,0.23,6.35,13.91
2018-12-21,2.98,3.83,9.43,18.29
2018-12-24,3.42,6.76,12.46,19.16
2018-12-26,2.32,-0.80,7.96,13.35
2018-12-27,2.11,1.74,6.32,13.32
2018-12-28,2.14,2.68,6.32,12.88
2019-01-03,2.34,6.01,10.59,17.04
2019-11-04,2.02,0.32,0.71,4.67
2019-11-07,2.05,0.44,2.17,8.01
2019-11-08,2.11,0.92,1.60,8.11
2019-11-11,2.05,1.19,1.68,7.73
2019-11-12,2.11,0.95,1.75,8.31
2019-11-13,2.08,0.54,2.60,8.46
