FromState,ToState,Count
DEFEND,overheat_1,5
fear_1,pullback,27
CAUTION,fear_downtrend,20
cruise,overheat_1,198
CAUTION,DEFEND,5
overheat_1,cruise,220
CAUTION,optimal,10
pullback,CAUTION,12
CAUTION,overheat_1,5
cruise,optimal,295
DEFEND,CAUTION,12
CAUTION,fear_1,8
pullback,fear_1,42
DEFEND,optimal,9
DEFEND,fear_downtrend,50
overheat_1,overheat_2,63
CAUTION,pullback,1
optimal,DEFEND,3
CAUTION,cruise,12
optimal,overheat_1,4
fear_downtrend,DEFEND,68
DEFEND,pullback,1
fear_1,optimal,1
overheat_2,cruise,1
fear_1,CAUTION,9
optimal,pullback,144
optimal,overheat_2,1
DEFEND,cruise,6
cruise,pullback,4
pullback,DEFEND,8
cruise,DEFEND,1
pullback,overheat_1,2
fear_1,fear_downtrend,13
pullback,cruise,2
pullback,fear_downtrend,1
optimal,CAUTION,15
optimal,cruise,261
overheat_2,overheat_1,71
DEFEND,overheat_2,2
cruise,overheat_2,3
fear_downtrend,CAUTION,16
pullback,optimal,110
overheat_1,optimal,2
CAUTION,overheat_2,2
