Timestamp,No_Trade_Persists,Opportunity_Mode_From,Opportunity_Mode_To,Scout_Days_Without_Expansion,Scout_Abort_Days,Scout_Reset_Triggered,Breakout_Active_Count,Market_State_From,Market_State_To,Risk_Overlay_From,Risk_Overlay_To,Trend_Gate_From,Trend_Gate_To,Trend_Status_From,Trend_Status_To,Topology_From,Topology_To,Trend_New_Unmet,Trend_Resolved_Unmet,Trend_Stay_Unmet,Breakout_1,Breakout_2,Breakout_3,Breakout_Summary
2026-08-25T00:12:58.638014179+09:00,false,Ready,NoTradeCold,0,3,false,0,IGNITION,IGNITION,NORMAL,NORMAL,true,false,Formed,Dispersed,FragmentedLeaders,FragmentedLeaders,"ContinuityThreshold","","","","","",""
2026-08-26T00:16:47.080468311+09:00,true,NoTradeCold,NoTradeCold,0,3,false,0,IGNITION,IGNITION,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","","","",""
2026-08-27T01:06:19.787548273+09:00,false,NoTradeCold,Ready,0,3,false,0,IGNITION,IGNITION,NORMAL,NORMAL,false,true,Dispersed,Formed,FragmentedLeaders,FragmentedLeaders,"","ContinuityThreshold","","","","",""
2026-08-28T02:33:00.100238552+09:00,false,Ready,NoTradeCold,0,3,false,0,IGNITION,IGNITION,NORMAL,NORMAL,true,false,Formed,Dispersed,FragmentedLeaders,FragmentedLeaders,"ContinuityThreshold","","","SPCX:NoBreakout(risk+)","","",""
2026-09-01T08:11:10.048373254+09:00,true,NoTradeCold,NoTradeCold,0,3,false,0,IGNITION,NEWBORN,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","","","",""
2026-09-02T02:57:38.906750760+09:00,true,NoTradeCold,NoTradeCold,0,3,false,0,NEWBORN,NEWBORN,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","","","",""
2026-09-03T03:02:13.875050377+09:00,false,NoTradeCold,Ready,0,3,false,0,NEWBORN,NEWBORN,NORMAL,NORMAL,false,true,Dispersed,Formed,FragmentedLeaders,FragmentedLeaders,"","ContinuityThreshold","","","","",""
2026-09-04T03:01:39.330281420+09:00,false,Ready,NoTradeCold,0,3,false,0,NEWBORN,NEWBORN,NORMAL,NORMAL,true,false,Formed,Dispersed,FragmentedLeaders,FragmentedLeaders,"ContinuityThreshold","","","NVDA:NoBreakout(risk+)","","",""
2026-09-07T08:43:28.580779511+09:00,true,NoTradeCold,NoTradeCold,0,3,false,0,NEWBORN,NEWBORN,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","","","",""
2026-09-09T03:03:18.705730961+09:00,true,NoTradeCold,NoTradeCold,0,3,false,0,NEWBORN,NEWBORN,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","","","",""
2026-09-10T11:21:36.876120341+09:00,true,NoTradeCold,NoTradeCold,0,3,false,0,NEWBORN,NEWBORN,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","","","",""
2026-09-10T12:38:32.099360174+09:00,true,NoTradeCold,NoTradeCold,0,3,false,0,NEWBORN,NEWBORN,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","","","",""
2026-09-12T02:51:40.583478337+09:00,true,NoTradeCold,NoTradeScout,1,3,false,1,NEWBORN,NEWBORN,NORMAL,NORMAL,false,false,Dispersed,Dispersed,FragmentedLeaders,FragmentedLeaders,"","","ContinuityThreshold","PLTR:NoBreakout->EmergingBreakout(risk+)","","",""
