date,timestamp,config_hash,state_code,state_text,gravity_strength,gravity_potential,t_share_raw,r_share_raw,r_share_adj,t_ratio_final,r_ratio_final,dominance_margin,exposure,watchlist_size,count_up_share,count_flat_share,count_down_share,count_forming_share,weight_up_share,weight_flat_share,weight_down_share,weight_forming_share,universe_integrity,capital_flow_acceleration
2026-02-25,2026-02-25T08:48:01+09:00,0b3278aa,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.6875,1.2084,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.5565,8,0.4286,0.0000,0.4286,0.1429,0.7500,0.0000,0.1875,0.0625,0.8750,0.0000
2026-02-25,2026-02-25T23:49:26+09:00,ca203277,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.5994,1.2618,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.5565,8,0.4286,0.0000,0.4286,0.1429,0.7500,0.0000,0.1875,0.0625,0.8750,0.0000
2026-02-26,2026-02-26T23:48:58+09:00,ca203277,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.5025,1.1271,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.6021,8,0.4286,0.1429,0.2857,0.1429,0.7500,0.0625,0.1250,0.0625,0.8750,0.0000
2026-02-27,2026-02-27T23:47:18+09:00,54178383,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.4011,1.0179,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.6129,8,0.4286,0.1429,0.2857,0.1429,0.7500,0.0625,0.1250,0.0625,0.8750,0.0000
2026-02-28,2026-02-28T23:41:02+09:00,54178383,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.4007,1.1219,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.6026,8,0.4286,0.1429,0.2857,0.1429,0.7500,0.0625,0.1250,0.0625,0.8750,0.0000
2026-03-02,2026-03-02T23:48:06+09:00,54178383,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.3276,0.9994,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.6107,8,0.4286,0.1429,0.2857,0.1429,0.7500,0.0625,0.1250,0.0625,0.8750,0.0000
2026-03-03,2026-03-03T23:48:30+09:00,54178383,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),10.1287,0.8635,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.6285,8,0.5714,0.0000,0.2857,0.1429,0.8125,0.0000,0.1250,0.0625,0.8750,0.0000
2026-03-04,2026-03-04T23:47:31+09:00,54178383,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.1787,0.8648,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.6307,8,0.4286,0.1429,0.2857,0.1429,0.7500,0.0625,0.1250,0.0625,0.8750,0.0000
2026-03-05,2026-03-05T23:48:58+09:00,54178383,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.1123,0.8593,0.9565,0.0435,0.0304,0.9692,0.0308,0.9383,0.5689,8,0.4286,0.1429,0.2857,0.1429,0.7500,0.0625,0.1250,0.0625,0.8750,-0.0617
2026-03-06,2026-03-06T23:47:22+09:00,54178383,TREND_DOMINANT,Trend Dominant (趋势主导 / 复利优先，谨慎加速),0.0248,0.6382,0.9571,0.0429,0.0301,0.9695,0.0305,0.9391,0.5983,8,0.4286,0.1429,0.2857,0.1429,0.7500,0.0625,0.1250,0.0625,0.8750,0.0008
